epoch,step,train_loss_batch_epoch,train_loss_batch_step,val_loss
0,20,,,0.296926885843277
0,20,0.40941956639289856,,
1,41,,,0.2176378071308136
1,41,0.26859378814697266,,
2,49,,0.2446964830160141,
2,62,,,0.1690250039100647
2,62,0.20094816386699677,,
3,83,,,0.14097930490970612
3,83,0.16038452088832855,,
4,99,,0.12406376749277115,
4,104,,,0.12443464249372482
4,104,0.13633152842521667,,
5,125,,,0.11251042783260345
5,125,0.12062589079141617,,
6,146,,,0.10509126633405685
6,146,0.11059971898794174,,
7,149,,0.11299528181552887,
7,167,,,0.10053030401468277
7,167,0.10195562988519669,,
8,188,,,0.09588689357042313
8,188,0.0949890986084938,,
9,199,,0.09075597673654556,
9,209,,,0.09251285344362259
9,209,0.08998865634202957,,
10,230,,,0.09021640568971634
10,230,0.08639714121818542,,
11,249,,0.08539862930774689,
11,251,,,0.08852425962686539
11,251,0.08192719519138336,,
12,272,,,0.09000257402658463
12,272,0.07932300120592117,,
13,293,,,0.08676217496395111
13,293,0.07666382193565369,,
14,299,,0.07161888480186462,
14,314,,,0.08620459586381912
14,314,0.07452660799026489,,
15,335,,,0.08548535406589508
15,335,0.0721273273229599,,
16,349,,0.07148533314466476,
16,356,,,0.08649007976055145
16,356,0.06958126276731491,,
17,377,,,0.08455697447061539
17,377,0.06818941980600357,,
18,398,,,0.08285357058048248
18,398,0.06758853793144226,,
19,399,,0.07643523812294006,
19,419,,,0.08371511846780777
19,419,0.06558168679475784,,
20,440,,,0.08441571146249771
20,440,0.06278584897518158,,
21,449,,0.06781663000583649,
21,461,,,0.08420965075492859
21,461,0.0624406561255455,,
22,482,,,0.08641797304153442
22,482,0.06110384315252304,,
23,499,,0.0552438348531723,
23,503,,,0.08447184413671494
23,503,0.059431083500385284,,
