epoch,step,train_loss_batch_epoch,train_loss_batch_step,val_loss
0,20,,,0.38620418310165405
0,20,0.5022146701812744,,
1,41,,,0.3166869282722473
1,41,0.3584052622318268,,
2,49,,0.32079848647117615,
2,62,,,0.27618607878685
2,62,0.3067967891693115,,
3,83,,,0.24684178829193115
3,83,0.27214258909225464,,
4,99,,0.25613680481910706,
4,104,,,0.22388087213039398
4,104,0.2455342561006546,,
5,125,,,0.20530831813812256
5,125,0.22338932752609253,,
6,146,,,0.18978919088840485
6,146,0.20623883605003357,,
7,149,,0.2418881058692932,
7,167,,,0.17721529304981232
7,167,0.1915063112974167,,
8,188,,,0.16672702133655548
8,188,0.179380863904953,,
9,199,,0.17751121520996094,
9,209,,,0.15776291489601135
9,209,0.16892282664775848,,
10,230,,,0.15011388063430786
10,230,0.16009403765201569,,
11,249,,0.16156281530857086,
11,251,,,0.14342711865901947
11,251,0.15214459598064423,,
12,272,,,0.13752692937850952
12,272,0.14556604623794556,,
13,293,,,0.13237494230270386
13,293,0.13949958980083466,,
14,299,,0.1330544352531433,
14,314,,,0.1278247982263565
14,314,0.13445530831813812,,
15,335,,,0.12373591959476471
15,335,0.12936489284038544,,
16,349,,0.12599168717861176,
16,356,,,0.1200651302933693
16,356,0.12488466501235962,,
17,377,,,0.11667860299348831
17,377,0.12056179344654083,,
18,398,,,0.11348215490579605
18,398,0.11689961701631546,,
19,399,,0.11585470288991928,
19,419,,,0.11112779378890991
19,419,0.11340349912643433,,
20,440,,,0.10829316824674606
20,440,0.11031510680913925,,
21,449,,0.09636592864990234,
21,461,,,0.10587354749441147
21,461,0.10660360753536224,,
22,482,,,0.1045992523431778
22,482,0.10462547838687897,,
23,499,,0.10832515358924866,
23,503,,,0.10165046155452728
23,503,0.10147842019796371,,
24,524,,,0.10010112822055817
24,524,0.09901708364486694,,
25,545,,,0.09819263219833374
25,545,0.09669999778270721,,
26,549,,0.10658936947584152,
26,566,,,0.0969383493065834
26,566,0.09451331198215485,,
27,587,,,0.09566923975944519
27,587,0.09236706793308258,,
28,599,,0.09815481305122375,
28,608,,,0.09417552500963211
28,608,0.09021987020969391,,
29,629,,,0.09332098811864853
29,629,0.08808304369449615,,
30,649,,0.08529390394687653,
30,650,,,0.09193849563598633
30,650,0.08635555952787399,,
31,671,,,0.0901344045996666
31,671,0.08474792540073395,,
32,692,,,0.0898706391453743
32,692,0.08271988481283188,,
33,699,,0.0871569961309433,
33,713,,,0.08838893473148346
33,713,0.0815732330083847,,
34,734,,,0.08792013674974442
34,734,0.0793459489941597,,
35,749,,0.0867215171456337,
35,755,,,0.08665948361158371
35,755,0.07888378202915192,,
36,776,,,0.08626077324151993
36,776,0.07758863270282745,,
37,797,,,0.08554011583328247
37,797,0.07602871209383011,,
38,799,,0.0725463405251503,
38,818,,,0.08470159024000168
38,818,0.07503966242074966,,
39,839,,,0.08415643125772476
39,839,0.07345718890428543,,
40,849,,0.06615299731492996,
